grid_lat,grid_lon,point_count,avg_speed_kmh,std_speed_kmh,distinct_users
39.980000000000004,116.33,1108449,11.703722598420773,16.41853092917206,172
40.01,116.32000000000001,536313,7.795652647117145,10.838995881723234,73
39.99,116.33,509601,12.928692928437549,17.02323900328982,128
39.97,116.33,494032,9.11997031357067,14.401426575654451,148
40.0,116.33,375242,11.912286782925268,15.417102882340407,93
39.97,116.42,327322,10.02850476496541,13.195393360284026,62
39.980000000000004,116.31,321478,13.487483771633952,16.605861605202463,120
40.0,116.32000000000001,300330,10.969983204775064,7.9322635182413945,54
39.97,116.31,282733,11.467975749096837,13.448243697813682,117
39.980000000000004,116.32000000000001,280080,17.34991820647087,20.96259524735493,126
39.980000000000004,116.34,232409,11.21350727630555,15.1431828415694,125
39.99,116.35000000000001,206257,22.27591316635826,23.268244337786452,105
39.980000000000004,116.3,198694,12.657409156424928,17.367023791313713,96
39.980000000000004,116.45,181977,24.303653447842162,20.053687140527085,56
39.99,116.3,180934,6.888351216225578,8.04847944031331,55
39.97,116.3,177992,10.026578295581345,13.552266652167448,85
39.980000000000004,116.35000000000001,175730,13.349506080158521,17.868921680401588,105
39.99,116.45,164255,9.85544053349536,14.842797909737136,25
39.99,116.31,160036,12.05975155394651,13.715162575528788,95
39.99,116.42,154337,16.876074329713695,18.981779321461136,77
39.97,116.34,143049,16.189419198560007,20.787618771785787,124
40.07,116.33,134289,8.749919497602273,13.592353817217084,42
39.97,116.32000000000001,123270,16.46142837187398,16.986755973785662,119
39.93,116.47,120743,11.930693270504044,15.993837231638269,29
39.97,116.35000000000001,102933,28.773262070124428,21.47375497108861,98
39.980000000000004,116.42,100556,13.77312701766639,11.641433569778961,34
40.0,116.42,99802,6.589450743051783,9.996416021580108,14
39.99,116.34,99472,37.06545779237448,21.353736140948897,109
39.99,116.32000000000001,98091,14.57864109424161,15.649186544650805,100
39.97,116.41,93390,22.297023895815478,18.88222805220619,63
39.94,116.35000000000001,92736,21.375147353959417,19.19617838450043,110
39.99,116.37,92233,41.65501043015622,20.821742478531174,93
39.97,116.4,89703,26.16797776238508,21.40600555516964,68
39.99,116.38,88836,37.22267620061477,22.097886287884684,85
39.96,116.42,87224,12.465261340406869,11.954425817146713,29
39.99,116.36,86701,36.1803347365638,22.983799087842456,88
40.08,116.33,82305,8.249830892988946,9.890541026536576,19
40.07,116.31,81496,26.565474368454765,24.87883267992886,68
39.910000000000004,116.47,81322,12.332420094733184,15.185286496703162,42
39.93,116.34,80960,10.493975013413754,13.988991836406672,45
39.95,116.42,79285,12.043063797798913,15.187459617748937,47
40.050000000000004,116.4,77621,11.776061650547053,19.7598146315421,36
39.99,116.39,76084,27.86693564529777,24.626501679694446,84
40.0,116.31,73022,14.778502071663508,14.474396616705297,66
40.0,116.34,71320,8.097949350002704,12.354392743455884,40
39.99,116.41,70322,29.347227432821096,23.26716523535834,82
39.97,116.39,69831,33.57048772903925,18.50263362142793,71
40.01,116.31,67173,13.426139588853301,16.53914591442489,44
39.97,116.37,67034,34.50073617034586,19.621426791584827,80
39.980000000000004,116.36,66413,13.77786645854081,14.346525119122171,66
39.9,116.34,64420,13.277865539637203,15.424628765698074,55
39.97,116.36,62953,26.36506396513106,20.615633077930273,88
39.97,116.38,62491,29.550980474193473,19.057665066072026,76
39.99,116.4,61584,33.37110706013431,23.23826732914597,83
40.06,116.4,61056,6.302051924500057,12.328035312876818,28
40.03,116.43,58257,12.44310148701473,16.373238309020998,10
